日時,番組名,公開年,評価,ID,原題,IMDb
2026/03/01 04:40,ファイヤー・ストーム,2013,2.5,81082,風暴 Fire Storm,-
2026/03/01 06:30,ミッション：インポッシブル／ファイナル・レコニング,2025,4.0,102868,Mission: Impossible - The Final Reckoning,7.2
2026/03/01 09:30,レインメーカー,1997,3.7,50811,The Rainmaker,7.2
2026/03/01 12:00,ラッシュアワー,1998,3.4,50540,Rush Hour,7.1
2026/03/01 13:40,ラッシュアワー2,2001,3.0,1160,Rush Hour 2,6.7
2026/03/01 15:15,ラッシュアワー3,2007,3.3,34137,Rush Hour 3,6.3
2026/03/01 16:50,劇場版「きのう何食べた？」,2021,4.0,92882,,
2026/03/01 19:00,Diner ダイナー,2019,2.9,89196,,
2026/03/01 21:00,アイム・スティル・ヒア,2024,3.8,102162,Ainda estou aqui,8.1
2026/03/01 23:30,モーターサイクル・ダイアリーズ,2004,3.8,1547,The Motorcycle Diaries,7.7
2026/03/02 01:45,バック・トゥ・ザ・フューチャー,1985,4.6,47965,Back to the Future,8.5
2026/03/02 03:45,バック・トゥ・ザ・フューチャー PART2,1989,4.2,47966,Back to the Future Part II,7.8
