日時,番組名,公開年,評価,ID,原題,IMDb
2026/03/02 03:45,バック・トゥ・ザ・フューチャー PART2,1989,4.2,47966,Back to the Future Part II,7.8
2026/03/02 05:40,バック・トゥ・ザ・フューチャー PART3,1990,4.1,47967,Back to the Future Part III,7.5
2026/03/02 07:40,美女と野獣,2017,4.0,83472,Beauty and the Beast,7.1
2026/03/02 10:00,ちはやふる−上の句－,2016,3.9,82125,,
2026/03/02 12:00,ちはやふる−下の句－,2016,3.7,82380,,
2026/03/02 13:45,ちはやふる−結び－,2018,4.3,86988,,
2026/03/02 16:45,ビーキーパー,2024,3.8,101062,The Beekeeper,6.3
2026/03/02 18:45,AI崩壊,2020,3.0,90456,,
2026/03/02 21:00,レインマン,1988,3.8,32157,Rain Man,8.0
2026/03/02 23:20,劇場版プロジェクトセカイ 壊れたセカイと歌えないミク,2025,3.3,102194,,
2026/03/03 01:15,デビルズ・バス,2024,3.2,101114,Des Teufels Bad,6.6
2026/03/03 03:20,ビートルジュース,1988,3.4,25497,Beetlejuice,7.4
