日時,番組名,公開年,評価,ID,原題,IMDb
2026/03/21 03:30,ハリケーン,不明,-,,,
2026/03/21 05:40,闇金ドッグスX 前編,2024,1.0,102007.0,,
2026/03/21 06:45,ジュラシック・パーク,1993,4.1,45490.0,Jurassic Park,8.2
2026/03/21 09:00,ロスト・ワールド ジュラシック・パーク,1997,3.0,51009.0,The Lost World: Jurassic Park,6.6
2026/03/21 11:15,ジュラシック・パークⅢ,2001,3.2,1462.0,Jurassic Park III,6.0
2026/03/21 13:00,ジュラシック・ワールド,2015,3.7,79542.0,Jurassic World,6.9
2026/03/21 15:15,ジュラシック・ワールド／炎の王国,2018,3.4,86390.0,Jurassic World: Fallen Kingdom,6.1
2026/03/21 17:30,ジュラシック・ワールド／新たなる支配者,2022,3.4,95217.0,Jurassic World: Dominion,5.6
2026/03/21 20:00,ジュラシック・ワールド／復活の大地,2025,3.1,103408.0,Jurassic World: Rebirth,5.8
2026/03/21 22:30,ゴッドマザー コシノアヤコの生涯,2025,3.7,100462.0,,
2026/03/22 00:30,シン・仮面ライダー,2023,3.3,94843.0,,
2026/03/22 02:40,もしも徳川家康が総理大臣になったら,2024,3.2,100771.0,,
