日時,番組名,公開年,評価,ID,原題,IMDb
2026/03/09 05:00,DREAMS,2024,3.8,103466,Drømmer,7.2
2026/03/09 07:00,LOVE,2024,4.0,102155,Kjærlighet,7.1
2026/03/09 09:10,ロボット・ドリームズ,2023,3.9,100268,Robot Dreams,7.6
2026/03/09 11:00,劇場版 SPEC〜天〜,2012,3.0,56856,,
2026/03/09 13:15,私たちは天国には行けないけど、愛することはできる,2023,3.3,103189,"No Heaven, But Love",7.8
2026/03/09 15:15,DROP／ドロップ,2025,3.4,103746,Drop,6.1
2026/03/09 17:00,映画「おいハンサム！！」,2024,3.6,101127,,
2026/03/09 19:10,ロスト・フライト,2022,3.8,98666,Plane,6.5
2026/03/09 21:00,レディ・プレイヤー1,2018,3.8,84003,Ready Player One,7.4
2026/03/09 23:30,プラトーン,1986,4.0,48837,Platoon,8.1
2026/03/10 01:40,マザーズ,2016,2.6,96203,Shelley,5.3
2026/03/10 03:15,グエムル 漢江の怪物,2006,3.3,1074,The Host,7.1
