日時,番組名,公開年,評価,ID,原題,IMDb
2026/02/26 08:00,首都高速トライアル5 FINAL BATTLE,不明,-,,,
2026/02/26 09:30,ゴリラ,1986,2.8,41709.0,Raw Deal,5.6
2026/02/26 11:20,レッドブル,1988,2.8,14572.0,Red Heat,6.1
2026/02/26 13:10,ロボット・ドリームズ,2024,3.9,100268.0,Robot Dreams,7.6
2026/02/26 15:00,線は、僕を描く,2022,3.8,96862.0,,
2026/02/26 16:50,AIR／エア,2023,3.9,99032.0,Air,7.4
2026/02/26 18:45,ハート・ロッカー,2010,3.7,53910.0,The Hurt Locker,
2026/02/26 21:00,ソードフィッシュ,2001,3.5,1212.0,Swordfish,6.5
2026/02/26 22:45,聖地には蜘蛛が巣を張る,2023,3.7,97007.0,Holy Spider,7.3
2026/02/27 00:45,ラストマン・スタンディング,1997,2.8,31443.0,Last Man Standing,6.4
2026/02/27 02:30,【推しの子】‐The Final Act‐,2024,3.7,101120.0,,
2026/02/27 08:10,ディーパンの闘い,2016,3.6,83573,Dheepan,7.2
2026/02/27 10:15,コラテラル・ダメージ,2002,3.0,12166,Collateral Damage,5.5
2026/02/27 12:15,バトルランナー,1987,2.8,48028,The Running Man,6.6
2026/02/27 14:15,九龍ジェネリックロマンス,2025,3.1,102682,,
2026/02/27 16:15,チャレンジャーズ,2024,3.5,98955,Challengers,7.0
2026/02/27 18:30,ボヘミアン・ラプソディ,2018,4.2,89230,Bohemian Rhapsody,7.9
2026/02/27 21:00,DROP／ドロップ,2025,3.4,103746,Drop,6.1
2026/02/27 22:45,アナと雪の女王,2014,3.7,77786,Frozen,7.4
2026/02/28 00:30,アナと雪の女王2,2019,3.6,88655,Frozen II,6.8
2026/02/28 02:15,ゴールデン・リバー,2019,3.4,89006,The Sisters Brothers,6.9
2026/02/28 04:30,夏目アラタの結婚,2024,3.6,101642,,
