日時,番組名,公開年,評価,ID,原題,IMDb
2026/02/28 04:30,夏目アラタの結婚,2024,3.6,101642.0,,
2026/02/28 07:10,リメンバー・ミー,2018,4.1,84135,Coco,8.4
2026/02/28 09:00,IT／イット“それ”が見えたら、終わり。,2017,3.2,86213,It,7.3
2026/02/28 11:20,IT／イットTHE END “それ”が見え…,2019,3.1,88423,It: Chapter Two,6.5
2026/02/28 14:15,トゥームレイダー,2001,3.0,1202,Lara Croft: Tomb Raider,5.8
2026/02/28 16:00,トゥームレイダー2,2003,2.9,1712,Lara Croft Tomb Raider: The Cradle of Life,5.5
2026/02/28 18:00,トゥームレイダー ファースト・ミッション,2018,3.2,86215,Tomb Raider,6.3
2026/02/28 20:00,スーパーマン,2025,3.7,103125,Superman,7.0
2026/02/28 22:15,パリピ孔明 THE MOVIE,2025,3.7,103113,,
2026/03/01 00:15,愛を読むひと,2009,3.8,53191,The Reader,7.6
2026/03/01 02:30,美しい夏,2025,3.3,101511,La bella estate,
2026/03/01 04:40,ファイヤー・ストーム,2014,2.5,81082,風暴 Fire Storm,
